timestamp;buyer;seller;symbol;currency;price;quantity
1400;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5006.0;2
4000;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5004.0;4
7200;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4993.0;3
9400;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4992.0;4
10100;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5004.0;4
13000;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4990.0;2
13600;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;3
14700;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5001.0;2
15200;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;8
15500;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5000.0;5
16000;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;5
19200;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;4998.0;4
20000;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;4
20700;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4990.0;3
23500;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;5
26400;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4988.0;5
33000;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;5
33700;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;8
36500;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5005.0;4
37600;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;7
37800;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5003.0;3
38300;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;4
38400;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5003.0;2
38900;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4991.0;3
39900;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5004.0;2
43600;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;6
43600;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4991.0;2
45900;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4989.0;2
46100;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;5
47700;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;6
48000;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5001.0;5
51000;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5002.0;4
52300;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;5
52400;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4989.0;2
54600;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5001.0;2
54800;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;8
55300;SUBMISSION;BOT;TOMATOES;XIRECS;4995.0;3
57600;SUBMISSION;BOT;TOMATOES;XIRECS;4993.0;2
57900;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;6
59400;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;4997.0;4
61100;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4986.0;5
63600;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;4994.0;2
64700;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;4991.0;4
65700;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;10001.0;4
65800;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;7
66500;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4980.0;3
67200;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;4990.0;4
69100;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;4991.0;2
71600;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;7
72200;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;4991.0;2
72600;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;4989.0;3
74300;SUBMISSION;BOT;TOMATOES;XIRECS;4983.0;5
75000;SUBMISSION;BOT;TOMATOES;XIRECS;4981.0;8
