candidate_id,iteration,rank,objective,total,tomatoes_total,min_day_total,avg_inventory,inventory_penalty,BASE_TAKE_EDGE,BASE_QUOTE_EDGE,INVENTORY_SKEW,SOFT_LIMIT_RATIO,TREND_EDGE_THRESHOLD,TREND_IMBALANCE_THRESHOLD,TOXIC_SPREAD_THRESHOLD,GAMMA_RANGE,GAMMA_TREND,GAMMA_VOLATILE,RESERVATION_SCALE,ALPHA_EDGE_SCALE,ALPHA_IMBALANCE_SCALE,POSITION_BIAS_DIVISOR,TREND_FAIR_BONUS,TREND_ENTRY_TAKE_BONUS,TREND_HOLD_EXIT_BONUS,STRONG_TREND_HOLD_EXIT_BONUS
v29_4-cmaes-phase2-baseline,-1,0,31856.77025,29048.5,14189.5,14314.5,10.92595,54.62975,1.207894882472369,2.847535999021062,0.024509248918509387,0.6496111091496646,1.1534555010267167,0.11808647674995909,14.775815900644234,0.3370511384137011,0.1354651527623592,0.36213553236909596,0.1521078443899914,1.0484583610803606,1.121982527597329,12.849674029945989,0.25,3.0,0.55,0.9
v29_4-cmaes-phase2-it00-cand07,0,1,31603.83075,28816.5,14053.5,14234.5,11.91385,59.56925,1.335043697244732,3.274309167870003,0.02328251588777446,0.6160116577358842,1.1218008830193633,0.15446028340968146,14.287805121800906,0.354674668864094,0.12779247922802905,0.33840638589651695,0.1582322568178617,1.0192496728880744,1.089497578331336,13.52593176062312,0.21709018771258942,2.7432491870252123,0.43420636920814837,1.253586679603754
v29_4-cmaes-phase2-it00-cand10,0,2,31577.09625,28790.5,13899.5,14222.5,11.58075,57.90375,1.1501240449738173,2.4810428637114597,0.030447231832077905,0.680983877825048,1.202587386353931,0.15573701881159874,14.461324823584684,0.3426838067205566,0.1694242492721833,0.2933555177998745,0.10260932985635632,1.0876799551835705,1.0349230399052505,12.30096115086491,0.2570361963494372,3.3245698695079184,0.5379368270063717,0.8304054279508404
v29_4-cmaes-phase2-it00-cand03,0,3,31559.282499999998,28766.5,13939.5,14256.5,11.7035,58.5175,1.1469006735149119,2.8105153420057087,0.0272289873714884,0.6326375666155988,1.3357517788744473,0.10586606755776283,14.343090356711249,0.34885851246878746,0.15586957225766387,0.5042173740312836,0.13496083452683066,1.033032593519429,1.153905920375143,14.193349113517353,0.25089810181411065,2.7817797163909037,0.41395947140699474,1.027364993312196
v29_4-cmaes-phase2-it00-cand06,0,4,31537.69875,28751.5,13924.5,14222.5,11.66025,58.301249999999996,1.3485126963591094,2.8839682729619587,0.02368441081278173,0.6376300367114686,1.2698852496895063,0.08411490119517827,14.426476284964435,0.36429051150747144,0.11656824811819069,0.20236206181410196,0.16469201488423402,1.0323945318644072,1.2746693081233875,13.548683390693082,0.2894691375969711,4.23983689054711,0.5330834271445956,0.9481714279453575
v29_4-cmaes-phase2-it00-cand01,0,5,31496.325,28684.0,13825.0,14339.0,11.094999999999999,55.474999999999994,1.2033734641062301,2.9065342527851974,0.031551591840507556,0.6047763684816918,1.20686789941559,0.14559699542746335,14.669670762621031,0.34510160709002113,0.16473405710825376,0.3547465322712952,0.16153729270706582,1.0651381810841802,1.0154545640643493,11.426296455353736,0.23711283316971196,2.9044926253073187,0.5219324391214898,0.9837111601744697
v29_4-cmaes-phase2-it00-cand02,0,6,31478.47325,28691.5,13800.5,14215.5,11.22535,56.12675,1.1291725701579662,2.971180144537309,0.039244963995580126,0.6568532314973831,1.1905466460212215,0.09351113261678681,15.105210233882731,0.31616016482082104,0.16891550547610276,0.42595763922921387,0.15975544447666284,1.1155092802742017,1.0856342628606377,13.702811641031463,0.26380519261677104,2.4700634169572133,0.5378385536582118,0.963714153246056
v29_4-cmaes-phase2-it00-cand04,0,7,31411.858500000002,28610.5,13815.5,14286.0,11.1683,55.8415,1.123435663348262,2.817213088000266,0.02114759420930656,0.6663694625472825,1.2365984503187206,0.11217900734558961,15.410613249092075,0.3507800066886636,0.07848691654994533,0.41370402307081966,0.14284411751104492,1.043050414776437,1.0582350873975743,13.363857377245846,0.18168184484243832,3.1177094833247225,0.6188060974873462,0.8782159179615363
v29_4-cmaes-phase2-it00-cand00,0,8,31411.828250000002,28615.0,13980.0,14267.0,11.31435,56.571749999999994,1.1221264892135503,2.405637977593442,0.020942717244638052,0.605990286969767,1.133006259883256,0.13005749403552064,15.132089532741325,0.35191063262213174,0.12462496000253469,0.27130241758494944,0.10945997217320583,1.0439547856580111,1.1152664671677697,11.837220503428444,0.19190624766860898,3.5937952562548796,0.4287541105366831,0.9267345713017783
v29_4-cmaes-phase2-it00-cand05,0,9,31410.9935,28634.5,13775.5,14149.5,10.6813,53.4065,1.1233779016711254,2.598923572920501,0.026262349390679705,0.698776356854915,1.356358031442312,0.08598326185131427,14.975851059158103,0.3878709081104211,0.1264970616504691,0.4865177226021381,0.1677185870406494,1.0374083360369608,1.1347869872395415,10.786045263836744,0.23523548276724543,2.0159000243475527,0.5955075940353811,0.7842871745639045
