day,timestamp,abs_timestamp,submitted_orders,executed_fills,conversions,cash_total,unrealized_total,total_pnl,positions_total_abs,stdout,error
-2,0,-2000000,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 11x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 7x 4993",
-2,100,-1999900,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 15x 9992
Acceptable price : 10
Buy Order depth : 3, Sell order depth : 2
SELL 5x 4998",
-2,200,-1999800,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 15x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 6x 4994",
-2,300,-1999700,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 13x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 5x 4995",
-2,400,-1999600,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 15x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 8x 4995",
-2,500,-1999500,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 13x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 6x 4994",
-2,600,-1999400,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 12x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 9x 4994",
-2,700,-1999300,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 3
SELL 11x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 5x 4993",
-2,800,-1999200,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 15x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 6x 4993",
-2,900,-1999100,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 13x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 5x 4994",
-2,1000,-1999000,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 15x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 10x 4994",
-2,1100,-1998900,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 10x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 10x 4993",
-2,1200,-1998800,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 10x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 7x 4994",
-2,1300,-1998700,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 10x 9992
Acceptable price : 10
Buy Order depth : 3, Sell order depth : 2
SELL 3x 4999",
-2,1400,-1998600,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 13x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 9x 4992",
-2,1500,-1998500,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 12x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 9x 4992",
-2,1600,-1998400,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 15x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 10x 4992",
-2,1700,-1998300,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 12x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 5x 4993",
-2,1800,-1998200,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 14x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 7x 4993",
-2,1900,-1998100,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 11x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 7x 4992",
-2,2000,-1998000,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 10x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 10x 4992",
-2,2100,-1997900,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 13x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 10x 4991",
-2,2200,-1997800,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 14x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 5x 4991",
-2,2300,-1997700,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 11x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 7x 4991",
-2,2400,-1997600,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 13x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 7x 4991",
-2,2500,-1997500,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 3, Sell order depth : 2
SELL 8x 10000
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 9x 4990",
-2,2600,-1997400,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 15x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 8x 4990",
-2,2700,-1997300,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 15x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 5x 4990",
-2,2800,-1997200,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 13x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 8x 4989",
-2,2900,-1997100,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 15x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 10x 4990",
-2,3000,-1997000,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 12x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 5x 4989",
-2,3100,-1996900,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 12x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 7x 4989",
-2,3200,-1996800,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 11x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 7x 4988",
-2,3300,-1996700,2,0,0,0.0,0.0,0.0,0,"traderData: 
Observations: {""conversionObservations"": {}, ""plainValueObservations"": {}}
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 15x 9992
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 3
SELL 10x 4988",
