day,timestamp,abs_timestamp,product,best_bid,best_ask,mid_price,bid_price_1,bid_volume_1,ask_price_1,ask_volume_1,position,cash,mtm_pnl,submitted_order_count,submitted_orders,fill_count,filled_buy_qty,filled_sell_qty,filled_total_qty,market_trade_count,official_profit_and_loss
-2,0,-2000000,EMERALDS,9992,10008,10000.0,9992,11,10008,11,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,0,-2000000,TOMATOES,4993,5007,5000.0,4993,7,5007,7,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,100,-1999900,EMERALDS,9992,10008,10000.0,9992,15,10008,15,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,100,-1999900,TOMATOES,4998,5007,5002.5,4998,5,5007,7,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,200,-1999800,EMERALDS,9992,10008,10000.0,9992,15,10008,15,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,200,-1999800,TOMATOES,4994,5008,5001.0,4994,6,5008,6,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,300,-1999700,EMERALDS,9992,10008,10000.0,9992,13,10008,13,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,300,-1999700,TOMATOES,4995,5008,5001.5,4995,5,5008,5,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,400,-1999600,EMERALDS,9992,10008,10000.0,9992,15,10008,15,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,400,-1999600,TOMATOES,4995,5008,5001.5,4995,8,5008,8,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,500,-1999500,EMERALDS,9992,10008,10000.0,9992,13,10008,13,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,500,-1999500,TOMATOES,4994,5008,5001.0,4994,6,5008,6,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,600,-1999400,EMERALDS,9992,10008,10000.0,9992,12,10008,12,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,600,-1999400,TOMATOES,4994,5007,5000.5,4994,9,5007,9,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,700,-1999300,EMERALDS,9992,10000,9996.0,9992,11,10000,6,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,700,-1999300,TOMATOES,4993,5007,5000.0,4993,5,5007,5,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,800,-1999200,EMERALDS,9992,10008,10000.0,9992,15,10008,15,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,800,-1999200,TOMATOES,4993,5007,5000.0,4993,6,5007,6,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,900,-1999100,EMERALDS,9992,10008,10000.0,9992,13,10008,13,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,900,-1999100,TOMATOES,4994,5008,5001.0,4994,5,5008,5,0,0.0,0.0,1,,0,0,0,0,1,0.0
-2,1000,-1999000,EMERALDS,9992,10008,10000.0,9992,15,10008,15,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,1000,-1999000,TOMATOES,4994,5007,5000.5,4994,10,5007,10,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,1100,-1998900,EMERALDS,9992,10008,10000.0,9992,10,10008,10,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,1100,-1998900,TOMATOES,4993,5007,5000.0,4993,10,5007,10,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,1200,-1998800,EMERALDS,9992,10008,10000.0,9992,10,10008,10,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,1200,-1998800,TOMATOES,4994,5007,5000.5,4994,7,5007,7,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,1300,-1998700,EMERALDS,9992,10008,10000.0,9992,10,10008,10,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,1300,-1998700,TOMATOES,4999,5007,5003.0,4999,3,5007,9,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,1400,-1998600,EMERALDS,9992,10008,10000.0,9992,13,10008,13,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,1400,-1998600,TOMATOES,4992,5006,4999.0,4992,9,5006,9,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,1500,-1998500,EMERALDS,9992,10008,10000.0,9992,12,10008,12,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,1500,-1998500,TOMATOES,4992,5006,4999.0,4992,9,5006,9,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,1600,-1998400,EMERALDS,9992,10008,10000.0,9992,15,10008,15,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,1600,-1998400,TOMATOES,4992,5006,4999.0,4992,10,5006,10,0,0.0,0.0,1,,0,0,0,0,0,0.0
-2,1700,-1998300,EMERALDS,9992,10008,10000.0,9992,12,10008,12,0,0.0,0.0,1,,0,0,0,0,0,0.0
