candidate_id,iteration,rank,objective,total,tomatoes_total,min_day_total,avg_inventory,inventory_penalty,CLASS:TomatoesBot.ALPHA_BLEND_WEIGHT,CLASS:TomatoesBot.FAIR_ALPHA_WEIGHT,CLASS:TomatoesBot.INVENTORY_SKEW,CLASS:TomatoesBot.BASE_QUOTE_EDGE,CLASS:TomatoesBot.BASE_TAKE_EDGE,CLASS:TomatoesBot.FIT_THRESHOLD,CLASS:TomatoesBot.TREND_EDGE_THRESHOLD,CLASS:TomatoesBot.PASSIVE_SIZE,CLASS:TomatoesBot.MAX_TAKE_SIZE
v51-1-exec-baseline,-1,0,26518.39225,24153.0,9284.0,11919.0,3.6815499999999997,18.40775,0.28,0.34,0.045,2.05,0.82,0.42,0.95,8.0,10.0
v51-1-exec-it00-cand04,0,1,26631.21575,24255.0,9386.0,11973.0,3.67685,18.38425,0.2793231015711247,0.3377778291444195,0.045152427535260754,2.0666804503528433,0.8092468862328347,0.4467794897693506,0.9609339706499769,8.108378151877982,9.636114455740316
v51-1-exec-it00-cand01,0,2,26533.5945,24161.0,9292.0,11954.0,3.6411,18.2055,0.28140186313574067,0.3293049049327842,0.041496637471562826,2.0423083750254483,0.8136785028272497,0.4243368703566009,0.946068529027369,8.313266222192482,11.119810419807271
v51-1-exec-it00-cand06,0,3,26490.788500000002,24123.0,9254.0,11931.0,3.6823,18.4115,0.2785323243566213,0.3431932142062964,0.043472343899059386,2.039092931576996,0.8273295244385769,0.4090687724384809,0.9606123853094155,8.293651661365201,10.305700060212555
v51-1-exec-it00-cand00,0,4,26463.78325,24101.0,9232.0,11905.0,3.64335,18.216749999999998,0.28764146646916733,0.3207713105099944,0.04627852528993563,2.06281584661244,0.8263206008549417,0.4277632657499009,0.9399140995055865,8.510565421930687,8.707272564724619
v51-1-exec-it00-cand09,0,5,26220.7595,23865.0,8996.0,11865.0,3.4481,17.2405,0.2888894346866716,0.3404561446728246,0.040929043102415845,2.0709708293543336,0.8572049158052119,0.43041096686533165,0.9658658389028324,7.076325601165282,10.10973213816015
v51-1-exec-it00-cand07,0,6,26053.967,23722.0,8853.0,11747.0,3.4866,17.433,0.30244403119708385,0.33564184293050836,0.04646218769987325,2.040848017753326,0.8155770602975937,0.41707226226095595,0.9734837088114998,7.93646838183485,10.845428196620928
v51-1-exec-it00-cand05,0,7,26028.270500000002,23702.0,8833.0,11717.0,3.4259,17.1295,0.270650374233342,0.33397044097244905,0.04720572267552591,2.0622132776022335,0.8420757805370934,0.4278890120284145,0.9667104607319343,7.635129907375227,8.671737123434294
v51-1-exec-it00-cand03,0,8,26011.89875,23685.0,8816.0,11721.0,3.4602500000000003,17.301250000000003,0.2924205369011162,0.3303769002645931,0.04716912530975682,2.039108979244495,0.835627024956827,0.42106477941857556,0.9151431262283471,7.951205634161412,10.079735406610022
v51-1-exec-it00-cand08,0,9,25535.65375,23255.0,8386.0,11486.0,3.30925,16.54625,0.287600600663092,0.3355406309774373,0.04243724095181052,2.041979683085793,0.8025113482642166,0.40168422839985135,0.9344390251707918,6.771340063795742,10.252646133484392
