day;timestamp;product;fair_value;position;cash;mtm_pnl
-2;0;EMERALDS;10000.0;0;0.0;0.0
-2;0;SQUID_INK;2000.0;0;0.0;0.0
-2;0;TOMATOES;5000.0;0;0.0;0.0
-2;0;CROISSANTS;4270.0;0;0.0;0.0
-2;0;JAMS;6530.0;0;0.0;0.0
-2;0;DJEMBES;13400.0;0;0.0;0.0
-2;0;PICNIC_BASKET1;58689.0;0;0.0;0.0
-2;0;PICNIC_BASKET2;30155.0;0;0.0;0.0
-2;100;EMERALDS;10000.0;0;0.0;0.0
-2;100;SQUID_INK;2001.5;0;0.0;0.0
-2;100;TOMATOES;5000.25;0;0.0;0.0
-2;100;CROISSANTS;4269.7467222470705;0;0.0;0.0
-2;100;JAMS;6530.406290929575;0;0.0;0.0
-2;100;DJEMBES;13399.33014698138;0;0.0;0.0
-2;100;PICNIC_BASKET1;58693.02935325253;0;0.0;0.0
-2;100;PICNIC_BASKET2;30149.799470847433;0;0.0;0.0
-2;200;EMERALDS;10000.0;0;0.0;0.0
-2;200;SQUID_INK;1999.5;0;0.0;0.0
-2;200;TOMATOES;5000.5;0;0.0;0.0
-2;200;CROISSANTS;4269.66105376149;0;0.0;0.0
-2;200;JAMS;6530.694714890227;0;0.0;0.0
-2;200;DJEMBES;13399.790145247678;0;0.0;0.0
-2;200;PICNIC_BASKET1;58691.3406124873;0;0.0;0.0
-2;200;PICNIC_BASKET2;30153.033644826413;0;0.0;0.0
-2;300;EMERALDS;10000.0;0;0.0;0.0
-2;300;SQUID_INK;1997.0;0;0.0;0.0
-2;300;TOMATOES;5001.25;0;0.0;0.0
-2;300;CROISSANTS;4269.820253678732;0;0.0;0.0
-2;300;JAMS;6530.6266436557635;0;0.0;0.0
-2;300;DJEMBES;13398.01541194926;0;0.0;0.0
-2;300;PICNIC_BASKET1;58689.81686498894;0;0.0;0.0
-2;300;PICNIC_BASKET2;30151.534302026455;0;0.0;0.0
-2;400;EMERALDS;10000.0;0;0.0;0.0
-2;400;SQUID_INK;1996.0;0;0.0;0.0
-2;400;TOMATOES;5001.0;0;0.0;0.0
-2;400;CROISSANTS;4270.210945385752;0;0.0;0.0
-2;400;JAMS;6530.901026476162;0;0.0;0.0
-2;400;DJEMBES;13398.92358353606;0;0.0;0.0
-2;400;PICNIC_BASKET1;58694.39233527906;0;0.0;0.0
-2;400;PICNIC_BASKET2;30155.14583449533;0;0.0;0.0
-2;500;EMERALDS;10000.0;0;0.0;0.0
-2;500;SQUID_INK;1995.5;0;0.0;0.0
-2;500;TOMATOES;5000.75;0;0.0;0.0
-2;500;CROISSANTS;4270.708432391103;0;0.0;0.0
-2;500;JAMS;6531.1576838506335;0;0.0;0.0
-2;500;DJEMBES;13399.4761983146;0;0.0;0.0
-2;500;PICNIC_BASKET1;58699.699844213115;0;0.0;0.0
-2;500;PICNIC_BASKET2;30154.64909726568;0;0.0;0.0
-2;600;EMERALDS;10000.0;0;0.0;0.0
-2;600;SQUID_INK;1994.0;0;0.0;0.0
-2;600;TOMATOES;5000.75;-4;20024.0;21.0
-2;600;CROISSANTS;4270.467253703479;0;0.0;0.0
-2;600;JAMS;6530.041743295486;0;0.0;0.0
-2;600;DJEMBES;13399.428143277952;0;0.0;0.0
-2;600;PICNIC_BASKET1;58694.356895385296;0;0.0;0.0
-2;600;PICNIC_BASKET2;30149.452501404892;0;0.0;0.0
-2;700;EMERALDS;10000.0;0;0.0;0.0
-2;700;SQUID_INK;1994.0;0;0.0;0.0
-2;700;TOMATOES;5001.0;-4;20024.0;20.0
-2;700;CROISSANTS;4270.331251091723;0;0.0;0.0
-2;700;JAMS;6530.162779654467;0;0.0;0.0
-2;700;DJEMBES;13398.769263722685;0;0.0;0.0
-2;700;PICNIC_BASKET1;58694.74510923642;0;0.0;0.0
-2;700;PICNIC_BASKET2;30149.650563675827;0;0.0;0.0
-2;800;EMERALDS;10000.0;0;0.0;0.0
-2;800;SQUID_INK;1993.5;0;0.0;0.0
-2;800;TOMATOES;5001.25;-4;20024.0;19.0
-2;800;CROISSANTS;4270.438403689971;0;0.0;0.0
-2;800;JAMS;6530.157168605524;0;0.0;0.0
-2;800;DJEMBES;13399.381402709854;0;0.0;0.0
-2;800;PICNIC_BASKET1;58687.48333066625;0;0.0;0.0
-2;800;PICNIC_BASKET2;30150.56795197093;0;0.0;0.0
-2;900;EMERALDS;10000.0;0;0.0;0.0
-2;900;SQUID_INK;1992.5;0;0.0;0.0
-2;900;TOMATOES;5001.25;-4;20024.0;19.0
-2;900;CROISSANTS;4270.172727215859;0;0.0;0.0
-2;900;JAMS;6530.327999769962;0;0.0;0.0
-2;900;DJEMBES;13399.607657362116;0;0.0;0.0
-2;900;PICNIC_BASKET1;58690.62801996715;0;0.0;0.0
-2;900;PICNIC_BASKET2;30148.346908403357;0;0.0;0.0
-2;1000;EMERALDS;10000.0;0;0.0;0.0
-2;1000;SQUID_INK;1993.0;0;0.0;0.0
-2;1000;TOMATOES;5001.25;-4;20024.0;19.0
-2;1000;CROISSANTS;4268.805412101334;0;0.0;0.0
-2;1000;JAMS;6529.712325058886;0;0.0;0.0
-2;1000;DJEMBES;13400.283559724425;0;0.0;0.0
-2;1000;PICNIC_BASKET1;58678.75300750909;0;0.0;0.0
-2;1000;PICNIC_BASKET2;30139.646298523105;0;0.0;0.0
-2;1100;EMERALDS;10000.0;0;0.0;0.0
-2;1100;SQUID_INK;1994.0;0;0.0;0.0
-2;1100;TOMATOES;5001.0;-4;20024.0;20.0
-2;1100;CROISSANTS;4268.553369754718;0;0.0;0.0
-2;1100;JAMS;6530.022870124713;0;0.0;0.0
-2;1100;DJEMBES;13400.991461669344;0;0.0;0.0
-2;1100;PICNIC_BASKET1;58682.38029057179;0;0.0;0.0
-2;1100;PICNIC_BASKET2;30140.7592192683;0;0.0;0.0
-2;1200;EMERALDS;10000.0;0;0.0;0.0
-2;1200;SQUID_INK;1993.0;0;0.0;0.0
-2;1200;TOMATOES;5000.0;-4;20024.0;24.0
-2;1200;CROISSANTS;4268.69192339839;0;0.0;0.0
-2;1200;JAMS;6529.710966350475;0;0.0;0.0
-2;1200;DJEMBES;13400.648569102097;0;0.0;0.0
-2;1200;PICNIC_BASKET1;58677.433008543856;0;0.0;0.0
-2;1200;PICNIC_BASKET2;30138.68962629451;0;0.0;0.0
-2;1300;EMERALDS;10000.0;0;0.0;0.0
-2;1300;SQUID_INK;1992.0;0;0.0;0.0
-2;1300;TOMATOES;5000.5;-4;20024.0;22.0
-2;1300;CROISSANTS;4269.63624767365;0;0.0;0.0
-2;1300;JAMS;6529.92743848171;0;0.0;0.0
-2;1300;DJEMBES;13402.364150724;0;0.0;0.0
-2;1300;PICNIC_BASKET1;58684.96395221103;0;0.0;0.0
-2;1300;PICNIC_BASKET2;30142.899867658023;0;0.0;0.0
-2;1400;EMERALDS;10000.0;0;0.0;0.0
-2;1400;SQUID_INK;1992.0;0;0.0;0.0
-2;1400;TOMATOES;5000.75;-4;20024.0;21.0
-2;1400;CROISSANTS;4268.088417138239;0;0.0;0.0
-2;1400;JAMS;6529.743253971061;0;0.0;0.0
-2;1400;DJEMBES;13401.25446156098;0;0.0;0.0
-2;1400;PICNIC_BASKET1;58675.01472630359;0;0.0;0.0
-2;1400;PICNIC_BASKET2;30136.840176495076;0;0.0;0.0
-2;1500;EMERALDS;10000.0;0;0.0;0.0
-2;1500;SQUID_INK;1991.5;0;0.0;0.0
-2;1500;TOMATOES;5001.75;-4;20024.0;17.0
-2;1500;CROISSANTS;4268.194536352017;0;0.0;0.0
-2;1500;JAMS;6529.51975545161;0;0.0;0.0
-2;1500;DJEMBES;13400.688746564156;0;0.0;0.0
-2;1500;PICNIC_BASKET1;58674.91523103109;0;0.0;0.0
-2;1500;PICNIC_BASKET2;30136.317656311287;0;0.0;0.0
-2;1600;EMERALDS;10000.0;0;0.0;0.0
-2;1600;SQUID_INK;1995.5;0;0.0;0.0
-2;1600;TOMATOES;5001.5;-4;20024.0;18.0
-2;1600;CROISSANTS;4268.637848600875;0;0.0;0.0
-2;1600;JAMS;6529.790551997742;0;0.0;0.0
-2;1600;DJEMBES;13395.460644059192;0;0.0;0.0
-2;1600;PICNIC_BASKET1;58666.15939165767;0;0.0;0.0
-2;1600;PICNIC_BASKET2;30139.132498398983;0;0.0;0.0
-2;1700;EMERALDS;10000.0;0;0.0;0.0
-2;1700;SQUID_INK;1995.5;0;0.0;0.0
-2;1700;TOMATOES;5001.0;-4;20024.0;20.0
-2;1700;CROISSANTS;4268.688890481357;0;0.0;0.0
-2;1700;JAMS;6529.949673659127;0;0.0;0.0
-2;1700;DJEMBES;13395.478356276804;0;0.0;0.0
-2;1700;PICNIC_BASKET1;58671.46072014233;0;0.0;0.0
-2;1700;PICNIC_BASKET2;30136.154909243684;0;0.0;0.0
-2;1800;EMERALDS;10000.0;0;0.0;0.0
-2;1800;SQUID_INK;1993.5;0;0.0;0.0
-2;1800;TOMATOES;5001.75;-4;20024.0;17.0
-2;1800;CROISSANTS;4268.611026018361;0;0.0;0.0
-2;1800;JAMS;6530.463124047451;0;0.0;0.0
-2;1800;DJEMBES;13395.224657172363;0;0.0;0.0
-2;1800;PICNIC_BASKET1;58671.78018542488;0;0.0;0.0
-2;1800;PICNIC_BASKET2;30137.87035216835;0;0.0;0.0
-2;1900;EMERALDS;10000.0;0;0.0;0.0
-2;1900;SQUID_INK;1992.0;0;0.0;0.0
-2;1900;TOMATOES;5002.0;-4;20024.0;16.0
-2;1900;CROISSANTS;4268.167013650836;0;0.0;0.0
-2;1900;JAMS;6530.419298615017;0;0.0;0.0
-2;1900;DJEMBES;13394.2229403829;0;0.0;0.0
-2;1900;PICNIC_BASKET1;58668.98291813297;0;0.0;0.0
-2;1900;PICNIC_BASKET2;30138.50665183338;0;0.0;0.0
-2;2000;EMERALDS;10000.0;4;-39972.0;28.0
-2;2000;SQUID_INK;1992.5;0;0.0;0.0
-2;2000;TOMATOES;5002.0;-4;20024.0;16.0
-2;2000;CROISSANTS;4268.506769230464;0;0.0;0.0
-2;2000;JAMS;6531.003742137247;0;0.0;0.0
-2;2000;DJEMBES;13393.247081115689;0;0.0;0.0
-2;2000;PICNIC_BASKET1;58677.79892291022;0;0.0;0.0
-2;2000;PICNIC_BASKET2;30143.03456119635;0;0.0;0.0
-2;2100;EMERALDS;10000.0;4;-39972.0;28.0
-2;2100;SQUID_INK;1996.5;0;0.0;0.0
-2;2100;TOMATOES;5002.5;-4;20024.0;14.0
