day,timestamp,abs_timestamp,product,side,price,quantity,fill_type,source_order_price
-1,4200,-995800,EMERALDS,SELL,10000,8,aggressive_cross,10000
-1,4300,-995700,TOMATOES,BUY,5002,6,aggressive_cross,5002
-1,8800,-991200,EMERALDS,SELL,10000,7,aggressive_cross,10000
-1,13900,-986100,TOMATOES,BUY,5004,6,aggressive_cross,5004
-1,14900,-985100,TOMATOES,SELL,5001,4,aggressive_cross,5001
-1,22600,-977400,TOMATOES,SELL,4998,7,aggressive_cross,4998
-1,28900,-971100,TOMATOES,SELL,4994,6,aggressive_cross,4994
-1,33200,-966800,TOMATOES,BUY,4989,8,aggressive_cross,4989
-1,41700,-958300,TOMATOES,SELL,4983,5,aggressive_cross,4983
-1,45600,-954400,TOMATOES,SELL,4983,7,aggressive_cross,4983
-1,46600,-953400,TOMATOES,BUY,4982,9,aggressive_cross,4982
-1,49200,-950800,EMERALDS,SELL,10000,7,aggressive_cross,10000
-1,51800,-948200,EMERALDS,SELL,10000,9,aggressive_cross,10000
-1,56500,-943500,TOMATOES,BUY,4985,9,aggressive_cross,4985
-1,61400,-938600,TOMATOES,SELL,4990,6,aggressive_cross,4990
-1,68700,-931300,EMERALDS,SELL,10000,6,aggressive_cross,10000
-1,68700,-931300,EMERALDS,SELL,10000,6,aggressive_cross,10000
-1,70500,-929500,TOMATOES,BUY,4987,3,aggressive_cross,4987
-1,74700,-925300,EMERALDS,SELL,10000,9,aggressive_cross,10000
-1,84600,-915400,TOMATOES,SELL,4987,6,aggressive_cross,4987
-1,86000,-914000,TOMATOES,SELL,4983,5,aggressive_cross,4983
-1,86500,-913500,EMERALDS,SELL,10000,8,aggressive_cross,10000
-1,94000,-906000,TOMATOES,SELL,4978,9,aggressive_cross,4978
-1,95800,-904200,TOMATOES,BUY,4982,9,aggressive_cross,4982
-1,97400,-902600,TOMATOES,SELL,4985,6,aggressive_cross,4985
-1,114000,-886000,EMERALDS,SELL,10000,9,aggressive_cross,10000
-1,127600,-872400,TOMATOES,SELL,4993,5,aggressive_cross,4993
-1,127700,-872300,EMERALDS,SELL,10000,10,aggressive_cross,10000
-1,136300,-863700,TOMATOES,SELL,4995,5,aggressive_cross,4995
-1,138600,-861400,TOMATOES,BUY,4994,2,aggressive_cross,4994
-1,139100,-860900,EMERALDS,SELL,10000,7,aggressive_cross,10000
-1,140200,-859800,TOMATOES,BUY,4991,6,aggressive_cross,4991
-1,141300,-858700,TOMATOES,BUY,4994,10,aggressive_cross,4994
-1,141600,-858400,EMERALDS,SELL,10000,7,aggressive_cross,10000
-1,141700,-858300,TOMATOES,SELL,4997,10,aggressive_cross,4997
-1,147300,-852700,TOMATOES,SELL,4991,3,aggressive_cross,4991
-1,154200,-845800,TOMATOES,SELL,4989,10,aggressive_cross,4989
-1,156600,-843400,TOMATOES,BUY,4988,10,aggressive_cross,4988
-1,157300,-842700,TOMATOES,BUY,4990,4,aggressive_cross,4990
-1,160700,-839300,TOMATOES,BUY,4983,9,aggressive_cross,4983
-1,160900,-839100,TOMATOES,SELL,4982,3,aggressive_cross,4982
-1,163200,-836800,TOMATOES,SELL,4983,8,aggressive_cross,4983
-1,174700,-825300,TOMATOES,SELL,4992,6,aggressive_cross,4992
-1,183700,-816300,TOMATOES,SELL,4990,6,aggressive_cross,4990
-1,189900,-810100,TOMATOES,SELL,4992,3,aggressive_cross,4992
-1,193800,-806200,TOMATOES,SELL,4992,9,aggressive_cross,4992
-1,198700,-801300,TOMATOES,BUY,4994,5,aggressive_cross,4994
-1,203100,-796900,TOMATOES,SELL,4996,10,aggressive_cross,4996
-1,215700,-784300,TOMATOES,BUY,4996,6,aggressive_cross,4996
-1,221000,-779000,TOMATOES,SELL,4986,7,aggressive_cross,4986
-1,226200,-773800,TOMATOES,BUY,4988,10,aggressive_cross,4988
-1,234400,-765600,EMERALDS,BUY,10008,4,aggressive_cross,10008
-1,235200,-764800,TOMATOES,BUY,4981,7,aggressive_cross,4981
-1,235700,-764300,EMERALDS,BUY,10000,6,aggressive_cross,10000
-1,235700,-764300,EMERALDS,BUY,10000,10,aggressive_cross,10000
-1,242200,-757800,EMERALDS,BUY,10000,7,aggressive_cross,10000
-1,250700,-749300,TOMATOES,BUY,4983,9,aggressive_cross,4983
