timestamp;buyer;seller;symbol;currency;price;quantity
1200;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4995.0;4
1600;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4996.0;3
2400;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;4
3600;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5005.0;4
4600;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4994.0;5
6500;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5008.0;2
7600;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5008.0;3
7900;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;4
8200;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4997.0;3
9500;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;5
11700;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5013.0;5
12000;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5001.0;2
12600;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5001.0;3
15000;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;3
15800;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;3
16100;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5012.0;5
17500;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;8
19500;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5001.0;4
20200;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5003.0;3
21300;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5005.0;4
22300;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5016.0;3
22400;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;8
24600;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5006.0;4
25200;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5018.0;5
25300;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5006.0;2
26000;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5016.0;4
28100;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;5
31400;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;3
32000;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5023.0;4
39700;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5024.0;5
40500;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5026.0;2
40800;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5015.0;3
46100;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5028.0;4
47800;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;3
48300;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;5
49700;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5013.0;5
49900;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;5
52400;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5022.0;2
52500;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5010.0;2
52900;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5008.0;2
58300;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;3
59900;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5004.0;3
61400;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;8
61800;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5004.0;3
62600;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5003.0;3
62700;BOT;SUBMISSION;TOMATOES;XIRECS;5010.0;7
63100;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5002.0;4
63500;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;3
65400;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5002.0;3
65900;BOT;SUBMISSION;TOMATOES;XIRECS;5008.0;5
66300;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;7
67900;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5011.0;4
70000;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5010.0;2
74900;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;3
75000;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5014.0;3
77600;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5001.0;3
81300;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5005.0;2
81400;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5017.0;4
81900;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5006.0;3
